video_id,title,published_at,likes,view_count,comment_count,comment_text
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Raya 17syawal 2025 dengar2 lagi kite geng ❤
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Datok siti nurhaliza best... salam dari Indonesia
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,"Tanpa kita sedar org yg dalam video itu seperti pelakon2 dah tua semua , 😊😅"
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Lagu raya lalar segar
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,"Salam 13 syawal 2025 from indon 
Lagu raya datok sangat memukau"
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Lagu raya sentiasa evergreen. Tahun ni sedih beraya tanpa ibu. Al Fatihah buat arwah ibu salina bt ismail
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,"dah nak masuk 3 series, lagu nie tetap jadi pilihan hati tiap kali syawal. 🤍"
4vtwJORy_eU,Siti Nurhaliza - Bila Hari Raya Menjelma (Official Music Video),2013-05-25T01:56:20Z,58217,22581589,4123,Lirik lagu menceritakan suasana di hari raya yg indah dan terdapat nasihat untuk kita semua amalkan..al-fatihah untuk orng tuaku.semoga hari raya akan datang juga indah
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,Sangat sukeeeee lagu ini ❤❤
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,IBNU ARASY DZIKRULLAH ALLAHU AKBAR AL-DOA EXIST BEFORE END DAY OR DOOMSDAY AMIN YA RABBAL ALAMIN INSYA-ALLAH ALLAHU AKBAR
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,"Syoklah yang masih punyai ibu bapa,👈😟😟😟"
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,"Tengoklah tu anak anak yatim piatu, 👈😟😟"
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,Saya!!!
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,"Pelakon HangTuah di Film Putri Gunung Ledang....sehat2 selalu Datuk Muhammad Nasir..Baarakallahufik
7 Juni 2025❤"
I1D7jRktEyU,M. Nasir – Satu Hari Di Hari Raya (Official Lyric Video),2020-05-13T05:00:04Z,62081,16966215,3157,2025 ❤❤
